content,score,at
"Min aplikasi ini saya sangat berharap apabila saat login ke live on, silahkan di beri tambahan untuk login via email juga untuk verifikasi nomer live on saat mau login. Jadi jangan hanya menggunakan nomer hp via SMS. terakhir saya sarankan untuk sesi login ke aplikasi live on jangan terlalu di ulang-ulang. Cukup 1x saja loginnya jadi gak bolak balik login ulang di apk live on nya",3,21/03/2023 16:09
Ko abis maintenance mlah mkin parah sinyal'a.. Jangankan bka yg laen'a bka apk live.on aja berat.. Wa aja lambat kirim lambat masuk.. Cba tlong d prbaiki lg msa hrus gnti krtu lgi..,1,21/03/2023 15:54
"Mantap sihh. Tapi mohon jaringannya di perbaiki di beberapa tempat dan juga waktu, jaringan sering eror padahal sinyal terlihat 4G dan full. 👍🙏",4,21/03/2023 15:43
"Gangguan terus, maintenance sampe 3harian, mubazir kuota gua 300gb",1,21/03/2023 14:20
"tolong lahk sinyal cma hilang 1 batang masa uda kyak gda sinyal, smua aplikasi online lambat saat dibuka krn sinyal yg gk stabil, kbnykn jlek sinyalny",1,21/03/2023 13:58
Mantap,5,21/03/2023 13:11
Jozzzz..... sejak pakai live On ngak ada yang namanya kehabisan kuota... live On jaya indonesia bahagia,5,21/03/2023 12:44
Makin turun kualitasnya,1,21/03/2023 12:29
joz,5,21/03/2023 10:10
Tambahkan Fitur Volte Yang Mana Di Produk Lu Yg Lama Ada Fitur Itu,1,21/03/2023 07:47
"Dari segi costumer service dah bagus gaada kendala, ada masalah tinggal ngomong langsung ditindak lanjuti Tapi sinyal lho.... Masalah sinyal makin sini makin ancur. Beda banget pas awal pake kartu sampai sekarang Saya udah 1 tahun lebih pake ini kartu dan beda banget kayak dulu Sinyal makin menurun",2,20/03/2023 13:00
Ga rekomen dah sinyal ilang ilangan ga stabil mikir2 dulu dah mending pake byu biar pun kecepatan kadang lemot tapi sinyal stabil,1,20/03/2023 10:46
Bagus,5,20/03/2023 07:44
Tambahin dong masa aktifnya,5,20/03/2023 03:53
Jaringan sangat bagus,5,20/03/2023 03:28
"Aplikasi live on berat, Muter doang. Padahal kuota masih ada 50GB. Masa aktif masih ada juga. Buka youtube mah lancar. Masa aplikasi live on lebih berat dari youtube.",1,19/03/2023 21:03
mahal banget harga paketnya,3,19/03/2023 13:14
Terimakasih buat provider live on jaringan wilayah sungai lilin udah lumayan stabil... Tingkatkan layanan .... Status terkunci,5,19/03/2023 12:42
Murah,3,19/03/2023 12:34
Untuk saat ini masih bagus entah kedepanya..sekedar masukan klo bisa ada paket unlimitid nya tanpa fup..pasti lebih keren,5,19/03/2023 12:01
"Sinyalnya jelek bgt si, udh pindah ke HP asus juga sama ga dpt sinyal, males lah pake2 live on lagi, 669 GB sia2 ga kepake.....",1,19/03/2023 08:41
kasih paket yang 50 / 60 ribu dong min,3,19/03/2023 06:35
Cool,5,19/03/2023 05:57
Puas sih tp syg hrga ya pling murah 80.000 cumn di buat hrga 50.000 / berapa gitu dan sering sering kasih promo Pasti lebih menarik,3,19/03/2023 05:39
gbs login karena gak dikirim otp,1,19/03/2023 01:13
Sinyal nya parah,1,18/03/2023 22:15
"Lelet banget ya, mana sering gangguan dan hilang sinyal hingga 3 hari, Balkan lebih.",1,18/03/2023 16:25
Ntah kenpa.. seminggu ini jaringan jelek banget.. padahal jaringan full .harus ganti provider lagi kayaknya,2,18/03/2023 13:53
Selalu menjadi pilihan saya 🥰🥰🥰💜💜💜💜💜💜,5,18/03/2023 11:29
Hemat kuota harga murah jaringan anti lemot,5,18/03/2023 08:16
Internetan ngebut,5,18/03/2023 04:59
Jelek,1,18/03/2023 02:32
Paket utama habis ....beli lagi yg ada bayar 50% ...gak taunya malah sinyal sengaja di bikin hilang ....parah...20 GB tidak bisa terpakai ...pintar ini live on....mana sinyalmu ...untung tidak beli kuota yg mahal ....sengaja di bikin sinyal hilang supaya kita beli paket sesuai mau nya live on....,1,18/03/2023 01:03
"Menurut saya paling jos harga dan paketan nya untuk kebutuhan jaman sekarang kartu seperti ini , simple mantap",5,17/03/2023 22:36
"jangan pake kartu ini nanti hati dan hidup kamu live off, sudah mahal, beli pulsanya susah, promo bonus nggak ada. jaringan sering error, masa aktif pendek. sempurna untuk sebuah kekecewaan mantap.",1,17/03/2023 20:45
"Akhirnya dari bintang 3 GUA NAIKIN KE BINTANG 1. Sekedar Info buat pelanggan lain. iseng coba paket Streaming 1 hari, ternyata BUKAN 24 JAM YA.. CUMA BERLAKU KALAU HARI ITU HABIS PUKUL 00. LO PAKETIN JAM 23 JAM 00.00 UDAH HAGUS. MASIH GARA2 UI-NYA YANG SANGAT MINIM INFORMASI. GUA MASIH MAKE LOH LIVE ON INI.. kyk gak ada niat upaya buat perbaikin PADAHAL PENDAPATAN XL LAGI NAIK AWAL 2023 INI, PERBAIKI UI KAGAK SERIBET BANGUN TOWER BARU KAN BRO? CUMA PERLU DEPAN LEPTOP AJA SI VENDORNYA? KSL BNGST!",1,17/03/2023 18:44
"Alhamdulillah matur Suwon tambahan 2 GB sdh aktif, semoga tetap lebih sukses dan jaya selalu....",5,17/03/2023 14:08
"Luar biasa bisa menghemat bangettt🥰🥰🥰🥰 macciii banyak aplikasi live.on,sinyak ok punyaaa",5,17/03/2023 10:52
Hade pisan,5,17/03/2023 08:58
Memang betul betul gak jelas ni live on yg mau coba2 download udah gak usah dari pada nyesel jangan tergiur harga murah jaringan lelet alasan perbaikan lah ini lah itu lah... Jangan mau pake ini.,1,17/03/2023 08:51
saya mau update kok ga bisa terus . padahal pas saya buka aplikasinya disuruh untuk update,2,17/03/2023 08:37
"stabilkan dulu aja sistemnya, baru pake embel-embel 100% digital..",1,17/03/2023 02:59
"Masih gk ngerti maksud tulisan kuota wah kamu punya! Itu buat apa? Karna kalo kuota tak terpakai habis, malah gk bisa dipakai. Kadang bisa dipakai tapi lemot banget..",3,16/03/2023 21:23
Sinyal tambah parah bikin darah tinggi,1,16/03/2023 18:32
Ok,5,16/03/2023 15:45
"Masih ada bug, saya buka aplikasinya, sisa kuotanya belum ke update, harus di swipe/refresh dulu baru ke update kuotanya, tolong di benerin terimakasih",1,16/03/2023 14:37
"Jaringan kagak stabil, kadang kuota suka ngilang kagak jelas .. Mohon perbaikan nya!",1,16/03/2023 13:16
"Paket mahal semua, sms telfon sesama bayar semua pula",1,16/03/2023 12:34
"Pelayanan terkait Malasah jaringan lemot saya sudah di selesaikan dengan sangat baik dan dalam kurung waktu yang cepat, enggak rugi buat make kartu live.on ini",5,16/03/2023 10:39
harganya ok sinyal tak ok😭,3,16/03/2023 08:32
Cara aktifin kartu SIM live on sulit harus pake nomer id pesanan. Jga.. Padahal nomer pesanan bner tapi selalu salah,1,16/03/2023 08:21
"Sinyal ancur parah banget, lagi narik online pas dapet orderan muter muter terus, tolong lah diperbaiki lagi biar bagus lagi sinyalnya",1,16/03/2023 03:30
"Sinyal oke, speed oke, mantap",5,16/03/2023 00:34
Pokoknya mantap deh,5,15/03/2023 22:46
"Tolong harga paketnya disediakan juga yang lebih murah lagi, sebab di kanan-kiri sana juga banyak provider yang masih berguna dengan harga paket yang lebih variatif. Faham ya maksud saya?",1,15/03/2023 19:09
"lancar jaringan nya , tapi mahal harga pembelian kuota nya..",5,15/03/2023 17:10
Lumayan,5,15/03/2023 15:07
PERBAIKIN JARINGAN NYA!!,4,15/03/2023 11:39
Kuota streaming apaan sih gaje bener... masa kuota utama abis duluan.. kuota streaming malah ga kepake. ga guna ah.. ilanging aja tu kuota strraming ga jelas,1,15/03/2023 10:34
"Aneh, beli perdana yang masa paketnya 30 Hari. Tapi aktual pas dipake tiba"" cuma 16 Hari, aneh banget dah",1,15/03/2023 08:51
"Keren, sisa data internet nya tiap bulan otomatis pindah ke bulan berikutnya, jdi selalu bisa digunakan tidak akan hangus sia², dan lebih hemat paket data.",5,15/03/2023 08:30
mantap,5,15/03/2023 05:47
Yg penting gk bakal kehabisan masa aktif 🤠🤠,5,15/03/2023 03:53
Harga paket gk ngotak dibanding kompetitornya 🤣,2,15/03/2023 03:42
"Pilihan paket nya dikit banget, masa pilihan nya di atas 50k semua (paket internet)",1,14/03/2023 23:38
"beli kartu sama paket nya murah, kalau beli paket nya aja mahal anyhhing",2,14/03/2023 18:29
Mantap pokoknya,5,14/03/2023 15:15
"Jaringan Di Surabaya Susah, Terutama Bagian Timur Saat Malam, Kalo Membaik Bintang 5 Saya Kasih",1,14/03/2023 12:32
"Belakngan ini jaringannn jelek bangettt, parah bangett, loading page web dan yt lamaa, padahl udah lama make tp skrng jelek, mohon segera diperbaiki yaa soalnya udh mls ganti laen.",3,14/03/2023 11:03
Lumayan lah,5,14/03/2023 06:46
"Alhamdulillah, aplikasinya performanya berjalan dengan baik, semoga makin banyak fitur-fitur dan bonus-bonus lagi kedepannya.",5,14/03/2023 05:10
Kenapa kadang sinyal sering mati?,4,14/03/2023 02:15
Nice,5,14/03/2023 00:40
Harga paketnya ketinggian dan lg klu mati lampu signalnya ikutan mati..😥😥😥,2,13/03/2023 22:54
"Jaringan nya kencang dan sudah lumayan banyak di berbagai tempat, cuman harga paketnya rata² di atas 50 ribu jadi lumayan mahal sih",4,13/03/2023 22:15
Turunin harga dong,5,13/03/2023 17:59
Jeleknya tidak ada menu utk melihat pemakaian data add on yang terpakai,2,13/03/2023 14:33
Kouta masih blum tanggalnya malah gk bisa kepake bagimana ini katanya tidak ad pembatasan kayak yg lain ?,1,13/03/2023 12:16
di tambahin keteranagan kuota utama dan add on nya.jadi gak mesti ribet2 chat csnya .thks,4,13/03/2023 08:30
Jaringan terkadang tiba² drop,4,13/03/2023 07:57
"Quota masih 50gg masa aktif 12 tp lemot nya minta ampun, sy balik lg ke si merah aja, rugi dsni",1,13/03/2023 01:29
Cukup Mudah dimengerti,5,13/03/2023 00:22
Harga kuota terlalu mahal sinyal gak sekenceng kalau pake kartu XL,1,13/03/2023 00:13
Fiturnya sedikit ga kaya sebelah beli paket bisa sekalian auto subcribe netflik maupun disney+,3,12/03/2023 23:02
"enak pas bulan pertama doang, bulan selanjutnya jaringan g stabil, buat main ML g bgt jaringannya, bikin frustasi.",3,12/03/2023 18:19
TERBAIK👍👍👍👍,5,12/03/2023 17:14
Tingkatkan lagi jaringannya,5,12/03/2023 14:14
Sinyal jelek,2,12/03/2023 13:31
Admin kenapa di langganan ke 4 ini .jadi lelet..awalnya super kencang..di perbaiki lah.saya pakai ini untukenjalankan software..,2,12/03/2023 12:33
Ternyata masih lebih murah langganan saya untuk pilihan kuota bulanannya.,3,12/03/2023 10:08
Oke,5,12/03/2023 07:18
"Aplikasi berjalan lancar, cuman untuk kualitas jaringan jelek banget,.. baru beli kuota tetep aja lemot,.. lancar cuman di YouTube doang.. saya ganti aja ke Indosat...",2,12/03/2023 05:25
Live.On sangat membantu dan jaringan stabil,5,12/03/2023 05:24
Gk guna sinyal full internet ngk jalan gggooblok,1,12/03/2023 05:00
"Perbanyak diskon,maka pemakai Live On akan byk😂",5,12/03/2023 03:37
"Parah ga jls ini provider. Kl cek apl ada tulisan 100GB tp boong, bln dpn bs berubah hilang,.. Quota kumulatif dr hongkong, sy pake sdh 1 thn sy kecewa, tiba tiba hilang 100GB kt itu kan quota streaming jd hangus per bln, mahal jgn pada pake deh",1,12/03/2023 03:15
banyakin promonya bg,5,12/03/2023 02:36
Harga kuotanya mahal2,5,11/03/2023 23:05
"Gak bisa perbarui paket pake gopay, Ok udh bsa",5,11/03/2023 19:25
Ribet banget suka logout sendiri mana login pake wifi nggk bisa lagi.,1,11/03/2023 18:19
"Masih uji coba moga awet , referal code FORZANDIKA",3,11/03/2023 15:37
Saya pakai udah 1 tahun masih aja gk ada perbaikan jaringan.. diperbaiki lagi lahhh,1,11/03/2023 15:12
"Makin kesini makin ancur sinyalnya, harga semakin mahal tapi sinyal makin jelek. Kecewa banget",1,11/03/2023 14:56
"Signal Buruk, kecepatan buruk , paket mahal2,....",1,11/03/2023 14:26
Good,5,11/03/2023 11:10
"Kuota mahal paling murah 80k, saya sudah mulai ada rencana blk lagi ke indosat.",1,11/03/2023 09:55
"Pemakaian sekitar 6 bulanan kok sinyalnya jadi jelek ya padahal ada 4 strip 4g lte tpi speed nya 0,03 Mbps doang,, gimana ini... Ga bisa ngapa2in.",1,11/03/2023 09:28
Ok,5,11/03/2023 07:20
makin kesini jaringan nya makin ancur,1,11/03/2023 06:40
Makin kesini makin parah untuk kuota & sinyal nya. So saya kecew dengan ini,1,11/03/2023 06:11
"Ini aplikasi buat liat kuota, beli kuota, dsb tapi ga ada rincian berapa jumlah sisa kuotanya. Terus juga kalo beli yang promo ga tau itu rincian pembagian paketnya apa aja ;/",3,11/03/2023 02:42
"Harga kuotanya mahal sekali, tidak ada promo potong harga lagi.",1,11/03/2023 02:35
Ini produk XLaxiata Yg kuota y gak ada yg murah Klo mau bersaing ama yg BY.U / IM3 bikin harga di bawah mereka,3,11/03/2023 02:34
Mantap,5,11/03/2023 02:05
Love on tidak ada mati matinya👍👍👍,4,11/03/2023 01:31
Banyakin promonya,5,10/03/2023 22:35
Good,5,10/03/2023 16:51
Setelah di Update Aplikasi SAMA SAJA TIDAK ADA HAL YANG BARU..PADAHAL UMUR DIRIMU SUDAH SETAHUN LEBIH LOH..,5,10/03/2023 16:42
"Baru aktifin live on, ribet emang. Beli dr reseller bkn dr official. Mau aktifin sendiri ga bisa. Akhirnya chat bantuan. Bisa login dan aktivasi. Ketika nomor dipasang, yg kedetek cm nomor live on. Nmr yg lain ga kedetek di hp. Udh bolak balik ganti tmpt sim. Yg nongol cm live on. INDOSAT GA KEPAKE. Coba aktifin indosat doank, ternyata normal. Kedetek. Kl dipasangkan dgn Live on, hapenya ga bisa DUAL SIM. Kl gini sm juga boong, drpd bli hape buat nmr yg lain, mending buang live on lah.",5,10/03/2023 14:52
"Paket lebih murah dibanding kompetitor, sinyal bagus.",5,10/03/2023 13:59
Jelek,1,10/03/2023 12:22
"Jaringannya bagus dan ada bonus kuota pakai kode referral. Bisa digunakan di hp dan modem, streaming lancar jaya, download cepat 👍",5,10/03/2023 10:12
Saya puas dengan live on anti lemot,5,10/03/2023 10:07
Top bgt Live On nyaa,5,10/03/2023 09:53
Alhamdulillah... Lebih hemat dan irit di kantong.. Semoga untuk promo²nya lebih di tingkatkan... Seperti waktu awal pemakaian,5,10/03/2023 09:48
Recomend buat anak kuliahan,5,10/03/2023 09:34
Makin kesini sinyal makin bikin emosi,1,10/03/2023 09:26
tolong rincian detail informasi kuota nya di bikin jelas dong,4,10/03/2023 09:05
"Kecepatannya cepat tapi harga paketan internetnya mahal , jika di bandingkan provider lain",1,10/03/2023 08:20
Sangat puas pokok nya,5,10/03/2023 08:06
Sebenernya sudah lama pakai Axis harga paket data lebih fariatif. Enaknya live on cuma paket data gak hilang kalau sudah lewat masa aktif. Kalo bisa live on juga kasih harga yg fariatif. Mungkin mulai dr harga 25rb an. Baru saya kasih 🌟🌟🌟🌟🌟,3,10/03/2023 07:54
Di tambah trus discount paketannya,5,10/03/2023 07:16
Mantap,5,10/03/2023 06:51
Akhir akhir ini sinyal kok jelek ya..padahal biasanya bagus..makanya milih live on..tolong diperbaiki donk..terutama daerah Depok jabar,4,10/03/2023 06:24
"Pengguna setia live on sudah dr awal keluar.. Sinyal bagus. Kuota hemat, dan akumukatif. Murah2 harga kuota nya.",5,10/03/2023 06:13
Good,5,10/03/2023 06:08
Di daerah Tangerang Jatiuwung bagus sinyal nya cuma klo di daerah Rajeg tergolong minim sinyal,5,10/03/2023 04:50
Mantapppp,5,10/03/2023 04:41
"Untuk diperkotaan, ok sih tapi kadang ga stabil jaringan. Tolong pihak XL axiata memperbaiki",4,10/03/2023 04:35
Keren,5,10/03/2023 04:24
"akhir2 ini untuk ngegame sering lag, padahal lokasi bagus jaringan naik turun tidak stabil.",1,10/03/2023 04:03
Sinyal buruk Padahal depan rumah tower xl,1,10/03/2023 03:08
"k***ol lah , detail paket kayak asu. pernah hilang paket sampe 300gb . pas laporan katanya kuata bonus angus . egak masalah sih tapi di aplikasi lo kasi tau . kuota rol yg numpuk segini , kuota bonus segini ,utama segini .detail ny musti akurat eki . aplikasi kik ma",1,10/03/2023 03:01
"Tolong aplikasinya diperbarui, mau aktivasi muter² terus.. mending kita cust tinggal pake aja lah kalo mau daftar aja LOLA banget gini",1,10/03/2023 02:41
Good,5,10/03/2023 01:55
Tolong paketnya jangan dikurangi jadi 28 hari...kan paket seharusnya berlaku 30hari tapi kenapa di potong 2 hari...? PERBAIKI!!! YAISS SEKYA!!!,5,10/03/2023 00:08
Aplikasi perlu menyediakan informasi detail kuota,4,09/03/2023 23:32
"Sudah saya bilang tolong tambahkan fitur pemakaian kuota, supaya kita bisa mendapatkan data pemakaian yang valid, masa aktif tinggal 3 hari sisa kuota 20GB masa dalam 1 hari berkurang 10GB, jangan curang dong sama customer",1,09/03/2023 15:52
butuh paketan 50k,5,09/03/2023 15:25
"tiap mati listrik, sinyal ikut hilang",3,09/03/2023 15:01
Berat untuk harga 100gb 180 RB ..engga ada promo kaya XL yg 100 GB cuma 115 RB harga nya jauh,2,09/03/2023 14:55
Jaringan gajelas,1,09/03/2023 14:21
akhir akhir ini sinyal engga jelas ayo dong masa paket udh naik tapi sinyal kualitasnya malah nurun sih,1,09/03/2023 13:48
"Harga kuota yang paling murah 80k? Tolonglah..turunin harganya atau ada in kuota yang lebih dikit dan lebih murah dari itu. Untuk sinyal ya bagus"" aj tapi ga terlalu bagus. Yg lebih penting harga kuotanya itu aj. Terima kasih",2,09/03/2023 12:50
"Bagus, bisa nabung kuota",5,09/03/2023 11:45
Tolong live on perhatikan lagi apakah nomor masih digunakan pemilik lama atau tidak karena itu membuat tidak nyaman.,1,09/03/2023 11:15
"Sekali isi bagus, beli yang gede macet gmn sih",1,09/03/2023 11:07
Bagus,5,09/03/2023 10:21
"Semakin lama kualitas kecepatan internetnya semakin lemot, jaringan full bar 4g+ tapi kecepatan internetnya lemot",1,09/03/2023 09:18
"ekhem, well, ok speednya stabil lagi sih, mungkin gua salah, jadi gua kasih bintang 5 lagi buat meningkatnya kestabilan internet live.on sekarang, goodjob karena udah ada improvisasi",5,09/03/2023 08:54
"Bagus,ada kemajuan",4,09/03/2023 07:51
Sediakan paket 3ok 1 bulan,3,09/03/2023 07:11
Lelet banget di lokasi saya XL ini,5,09/03/2023 07:02
oke,5,09/03/2023 06:34
Untuk lihat detail kuota harus ke cs cukup merepotkan,2,09/03/2023 05:56
"Beli kouta 40GB malah cuma nambah 7 GB. Semakin gk jelas, sebentar lagi mungkin balik kanan",1,09/03/2023 05:45
Masih oke namun banyak yang harus ditingkatkan lagi kedepannya,5,09/03/2023 05:10
Nice udh brpa bln ini masih bgs paketannya tapi masih ada kurang jarang ada promo,5,09/03/2023 04:19
"Ngisi paket promo 40 gb 65 rb kok baru 1 hari sisa 7,1 gb. Bisa begitu ya",2,09/03/2023 04:08
"Awal pemakaian sekitar 4 bulan, sinyal bagus, lama lama sinyal hilang malah tidak ada sama sekali, sinyal ada di rumah tetangga, masa iya harus ke tetangga kalau mau internetan dan segala macem, mohon diperbaiki lagi ya",3,09/03/2023 03:35
Nyesel gw pake ini mana udah beli 100gb lagi sinyal lemot parah,1,09/03/2023 03:19
"Tolong sinyalnya diperbaiki, dan diperbanyak promonya, kecewa akhir akhir ini kuota mahal tetapi sinyal kurang bagus",2,09/03/2023 00:54
Bug di rincian data 20 gb di beranda malah menjadi 70 gb tolong di perbaiki🙏🙏,3,09/03/2023 00:38
Saya merasa dirugikan setelah melakukan pembaruan yg awalnya pket rollover saya msih diatas 50 gb Tp setelah ada himbauan pembaruan trs saya lakukan update paket saya tinggal 23 GB Kok bisa??? 🥺🥺😡😡,2,09/03/2023 00:33
"sinyal baik stabil di pulau jawa, sisa kuotanya ngak hangus, hanya harga paketnya yg lumayan mahal jd kalo mau isi nunggu ada promo... kuota di promo in tiap bulan lah min....",5,09/03/2023 00:15
Sinyal parah habis' makin banyak pengguna malah makin turun kualitas sinyalnya. Sinyal menunjukan 4G terkoneksi tetapi buka halaman internet aja lodingya lama amat' status bar sinyal cmn 1 smp 2 bar engg pernah full. Tolong d evaluasi lg buat pelayanan dan kualitasnya' agar pengguna tidak berahli ke operator lain.,1,08/03/2023 23:54
Cukup baik...jaringan lancar n standart...👌,5,08/03/2023 23:52
"Sy pelanggan 1th ni, awal sy puas krn saat hbis kt dapat pilihan yg paling kecil 6GB dan 20GB, tpi sekrg itu semua dihilangkan paling minim pengisian 25GB dgn hrg 80rb...bgi sy pribadi sangat kecewa👎👎👎",2,08/03/2023 23:45
"Kendalanya cuma satu yaitu sinyal, knpa tiba"" Mati dan sinyal full tapi tdak ada internet, kalo bisa di perbaiki mumpung peminatnya bnyak.",5,08/03/2023 23:14
Sinyal buruk dan harga paket mahal,1,08/03/2023 23:00
"sejauh ini masih good. semoga lebih ditingkatkan lagi, terlebih akan diskon diskon paket data untuk memperbaharui.",5,08/03/2023 22:27
Tingkatkan lagi ya,5,08/03/2023 22:22
"Makin lama makin kesini sinyalnya tambah lemot ya, terutama kalo siang hari ampun deh lemotnya, ada apa dengan live on ?",2,08/03/2023 22:18
"Susah masuk aplikasi nya buat cek kuota, sering logout sendiri, dan masukin nya susah muncul notif nomer tidak teregistrasi",2,08/03/2023 22:13
Bagus,5,08/03/2023 22:08
"Udah 6bln lebh pake ini aman aman aja g ada masalah, dapet 5G juga",5,08/03/2023 17:35
Provider Termahal Di Indonesia..,1,08/03/2023 17:31
"Sudah di perbahrui juga gak ada beda nya, mohon tampilan nya di rubah, pisahkan antara kuota bonus dan kuota reguler",1,08/03/2023 17:29
Kereem bngeet,5,08/03/2023 17:16
"Bikin yg transparan lagi donk, pembagian kuota biar lebih jelas lagi... Mana yg kuota utama mana yg streaming jgn d gabung.",4,08/03/2023 17:16
Semoga slalu lancar jaringannya,5,08/03/2023 17:15
Mantap saya suka puas,5,08/03/2023 17:10
"Promonya cukup jarang, di awal memang paling murah dibanding yang lain menurut saya walaupun sinyalnya juga tetep dibawah provider lain. Yang jadi masalah terbesar menurut saya di kuota rollover, memabg terdengar menggiurkan, tapi nyatanya saya punya kuota rollover sampe 80 GB pun gabisa dipake justru bikin bias kalo cek kuota saya yang real sisa brp GB, kecampur sama kuota gimik rollover itu.",3,08/03/2023 15:00
"Rada nyesel hbs beli, signal lumayan bwt browsing doang tp bwt ngegame online lemotnya bikin garuk2...g recommend plus pilihan paketan sedikit dan mahal2 !!",2,08/03/2023 09:47
Gokil sih ini. Lov pokoknya,5,08/03/2023 03:24
Baik,5,07/03/2023 23:30
Kimochii,5,07/03/2023 23:11
Sekarang jauh lebih baik... Mantap..,5,07/03/2023 21:19
Bagus pas awal doang nih .udh ngisi data 3x ko sinyal makin buruk .ampun deh ..,1,07/03/2023 14:18
Sudah kuperbaharui paketnya padahal masih ada sisa masa aktif 10 hari lagi tapi tetap sinyal nya seperti caduk waduk mendingan PINDAH ISP najis kapok belinya juga,1,07/03/2023 07:06
Mantap,5,07/03/2023 00:18
"Pilihan perbarui paketnya sangat sedikit (hanya 4) dan terbilang mahal. Saran bisa di buat lebih variatif dengan katagori misal paket khusus wifi rumahan, game dll",3,06/03/2023 15:09
"Kuota gak hilang kalau sudah habis masa aktifnya..... waktu diisi ulang jadi banyak Kuota internernya😁. Perkuat lagi Sinyalnya di area2 tertentu, serta diperbaiki lagi sinyalnya..... sinyal 3 kotak 4G biasanya lancar youtube skrg kok agak mbrebet.",5,06/03/2023 14:59
❤️,5,06/03/2023 14:04
"Entah kenapa beberapa bulan ini sinyal XLnya busuk banget, masa yang biasanya sinya 4G full sekarang cuma 1 bar doang dan itupun jadi EDGE, kenapa sih XL jadi kyak begitu sekarang????berubah jadi lebih baik dong bukan malah makin buruk",3,06/03/2023 12:16
Real,5,06/03/2023 10:53
Promo kuota nya diperbanyak,4,06/03/2023 10:38
Mantul,5,06/03/2023 10:24
Jarang promo,3,06/03/2023 04:47
"Promo potongan harganya jarang banget ,, terus sekalinya ada , g pernah ada pemberitahuan , klo ada promo 😂😂😂",3,05/03/2023 14:53
Mantap,5,05/03/2023 09:27
Awesome,5,05/03/2023 08:47
""" Kartu di nonaktifkan "", harus isi kuota kalo mau on, tpi login aplikasi nya harus pake otp. Fungsi masukin email itu buat apaan dah. Susah login jadinya otp ga masuk².",1,05/03/2023 07:31
Bagus murah lancar,5,05/03/2023 07:01
"Lha kenapa Live on sekarang kok lemot bgt ya utk buka tiktok saja TDK bisa padahal tiap bulan sy beli yg 100 GB , percuma saja klo TDK bisa di pake mah ...... Parah dah... Padahal sy tinggal di Jakarta pusat masa masih lemot juga , klo tinggal di pelosok mah mending lah",1,05/03/2023 05:57
"Kemarin top up paket dan jumlahnya menjadi 93,5gb, pas besok paginya cek kuota malah jadi 46,8gb, padahal belum sempat dipakai buat buka youtube, sosmed, dan lain², karena saya lagi melakukan hemat kuota & bijak memakai penggunaan kuota. Tapi ini benar² aneh. Sangat sering terjadi hal semacam ini. Ini tidak adil, & tidak transparan. (Tolong YLKI) Semoga cerita nyata ini dapat menjadi pertimbangan untuk masyarakat yang berniat menggunakan LIVE.ON. #KISAHNYATA #LIVE.ON #GAKJELAS #TIDAKTRANSPARAN",1,05/03/2023 05:04
Sinyal nya burukk sekali saya sudah bayar mahal,1,05/03/2023 02:26
"Jaringan dibenerin lah, masa 2 hari lemot begini sejak abis ujan deres",1,05/03/2023 02:08
Mohon untuk ditingkatkan lagi kekuatan sinyalnya,2,04/03/2023 18:28
"Woy Bnerin sinyal nya.. Kocak ni provider.. udah bnyak komplain gak ada aksi apa"" dah prasaan,. gmna mau maju lu.. hancur""",4,04/03/2023 17:10
Mantap top is the best,5,04/03/2023 16:14
Mantap,5,04/03/2023 13:55
